,empty_slots,free_bikes,id,latitude,longitude,name
53,29,0,8fdb03b50ec6c7d2a4fd6522f041aac6,41.4276076,2.1697582,"C/ ESCULTOR LLIMONA, 7"
54,22,2,209936f04819af74dbbbbb11324f1698,41.4389014,2.1715576,"PG. VALLDAURA, 171"
55,37,11,c55705a98f23d2296c39a68af7876656,41.3675574,2.1388216,"GRAN VIA DE LES CORTS CATALANES, 179 (D)"
56,14,4,1f6bcf57dac0a8e71974ad24678ed240,41.3982304,2.1531031,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA"
57,16,10,837b1735c1425961256c0028bc839c0e,41.4182129,2.1904005,"C/ PALÈNCIA, 31"
58,11,6,c03f3bcdbfaf01b9631236692d76a93b,41.4078456,2.1586704,"C/ DEL TORRENT DE LES FLORS, 102"
59,16,4,1a670d1e045dd4d7733d85a8d2af7d9f,41.4047056,2.1765126,"C/ LEPANT,  278"
60,17,17,ed1093b9e37a0c0afcf57114d7aa228d,41.3773113,2.1646742,"RONDA DE SANT PAU, 51"
61,11,8,be6b8196d1e1535db1e0ac8bd50d4739,41.3954041,2.1681961,"C/ BRUC, 102"
62,23,3,515587ca0fcf6ecc240ae4ca9c4b40f0,41.4345997,2.1585268,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI"
63,16,7,b38b4aff722d92c76825f9b80d63a825,41.3989151,2.1564253,"C/ GRAN DE GRÀCIA, 37"
64,11,12,53ce167862161ac3e0db641efe20d40a,41.3878061,2.1344218,"C/ NUMÀNCIA, 136"
65,18,8,b5c71ae466be2730a78d671a1ddd6ace,41.4065291,2.2091221,"C/ LLULL, 309"
66,11,6,d6b22a7060e924a9d72bf714bb7abe66,41.3790718,2.1490553,"C/ VILAMARÍ,  61"
67,17,5,3c743ecf94b93efe624e6495b8634440,41.4009,2.13892,"C/ SANTALÓ, 165"
68,15,1,086561ce0bc3e36a81eb90e26d0bc610,41.388296,2.150878,"C/ ROSSELLÓ, 108-110"
69,14,7,f64f7ec154143f871bb06d378e982e0d,41.385086,2.174016,PL. CARLES PI I SUNYER
70,26,1,9db9646e880ada6e547ad2303c1fd1cb,41.4038559,2.2084257,"C/ RAMON TURRÓ, 292"
71,15,12,7c21a5ffcb9e694f3a6cae488cfcade5,41.4116634,2.2183313,"RAMBLA DE PRIM, 19"
72,15,16,558a9588c57f132d922efd3be50d01f8,41.3631066,2.1398322,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS
73,25,2,faaa75871b7cee48bba7f3242d86bcbb,41.4246885,2.1570492,"C/ LLOBREGÓS, 115"
74,20,13,1161584f0cdec1e6c63e016824fe9db4,41.3880355,2.1256248,"AV. DIAGONAL, 672"
75,29,6,c6edb376f8c2f0e7f2b70725c36402c9,41.4304126,2.1834174,"AV. MERIDIANA, 404"
76,21,9,3dbb2b93d9b68513c2c52e9c10e64aba,41.3653426,2.1331357,"C/ JUAN GRIS, 28"
77,16,6,c9d0f804dc5a2213edae31e31cbbcbe3,41.4250835,2.1872818,"C/ ANTILLES, 8"
78,9,11,36a77ee7024d6a550a37897e26e1cc3d,41.376735,2.1740082,"PL. JEAN GENET,  1"
79,5,27,6771869a4e86404f73b349215b92369d,41.381708,2.177292,"PL. SANT MIQUEL, 4"
80,18,8,afa694b030bf59152b1649bde5a8870c,41.4098842,2.1715285,"TRAVESSERA DE GRÀCIA, 368"
81,11,9,126463a86cb5fe5421dd27fed9c2c6bc,41.3779613,2.1450491,"C/ TARRAGONA, 141"
82,9,14,b7592cd6043ae21ee3e41b2fa96d9a33,41.4013296,2.1574439,"C/ DEL CANÓ, 1"
83,19,23,0bf11c6c1881281b3582f7468f7f7223,41.3982615,2.1866517,"AV. MERIDIANA, 47 (D)"
84,21,3,8919e2b707ebb21481074247d81c0d1e,41.4105956,2.1579897,"C/ CARDENER, 59"
85,9,12,cf23d88209be498ef58d4a397afecf46,41.4361782,2.2047037,"C/ SANT ADRIÀ, 113"
86,32,7,6bbc3329c88fa6e540166c5298c00686,41.3720293,2.1804468,WORLD TRADE CENTER
87,25,0,84a14ee591bad0c01cf695bfeb743c9b,41.4260751,2.1722534,"C/ AMILCAR, 78"
88,29,0,fdd54a815b9df606b7855bc3d48fe805,41.3702483,2.1878126,C/ NOVA  BOCANA
89,13,10,205a69a8b9006b34c6170024516fa6ee,41.4018686,2.20077,"C/ PUJADES, 173/RBLA POBLE NOU"
90,18,9,00e4814116fc414fb00b93cc1c9aa1ca,41.3992169,2.2041415,"C/ DEL DOCTOR TRUETA, 222"
91,2,24,7d5ed93b63811f1aacd75f5ecb137eae,41.3717304,2.1554047,"C/ LLEIDA, 40"
92,23,3,d619601c806c7e3476c79145cafcd1da,41.400305,2.149144,"C/ MADRAZO, 39"
93,16,10,d6505fff5b4c2a24385305452780ffa1,41.3967824,2.1445567,"C/ MADRAZO, 131"
94,22,1,8ca64c5a6a216cb4628c6f4e7aff13bd,41.3986238,2.1204941,"C/ CARME KARR, 12-14"
95,40,2,b1dadc34eb4621be3322c4989aadbce6,41.3694508,2.1879597,MOLL ORIENTAL
96,26,4,af8ed8f730d69306e8971ff13d1080ce,41.3723682,2.1419494,"C/ GAVÀ, 1"
97,23,2,d75f6859f1594fbe1c608d67b3e0bce9,41.3756948,2.1358571,PG. SANT ANTONI /PL. SANTS
98,22,5,6c8a27a1642eddd5ccf4dfb99a120140,41.3954094,2.1599427,"C/ ROSSELLÓ, 261"
99,9,16,935058af9c6e404d8b6e4558ebe7678e,41.3960982,2.1513154,"C/ TUSET, 19"
100,1,23,084523f98844ad705e48d34b3d667865,41.3943454,2.1751709,PL. TETUAN
101,28,9,aa57523a41ed37cd0eca001803241c37,41.3718728,2.180302,WORLD  TRADE CENTER
102,7,16,f4fa7f17f346f7172eae9dbd166fbdf7,41.377046,2.16113608,"C/ MANSO, 46"
103,14,6,eb9804d8f13e410f242f9674d5a34452,41.4108439,2.1740575,"C/ SANT ANTONI MARIA CLARET, 214"
104,25,4,85754ee6b3be59b9e61376c7d72cd0eb,41.4095926,2.1524953,"C/ MAIGNON, 31-41"
105,18,2,4221670311bebbea4f1f557ffcd04050,41.3808222,2.141539,"C/ VIRIAT,  53"
106,6,19,cbd7a9e3c74db2af2926d83c711e13e7,41.388885,2.18329,"PG. PUJADES,  1 (JUTJATS)"
107,3,14,f4d8965d9acfe29d7b109123ac723c74,41.389492,2.17425,"RDA. DE SANT PERE, 26"
108,23,6,23f495a807f88f6a5a1a2aa73b8fb5a3,41.429561735076526,2.1589684563445877,"C/ LISBOA, 1"
109,15,9,4ec39ba0bb29d1ca4292b40933dc6bb8,41.4059356,2.1517977,"C/ DE NIL FABRA, 16-20"
110,11,5,f02902460e1873902ce5cd04c4733484,41.36352,2.1369015,"PG. ZONA FRANCA, 244"
111,23,10,1139f0f7f91f6444cfaec68ec53b8433,41.4298991,2.1932159,"RAMBLA DE L'ONZE DE SETEMBRE, 31"
112,20,7,2ac4f6528d3b970a9fb266edd9776986,41.3993329,2.1974184,"C/ PUJADES, 121"
113,22,2,09257dd0300decf3aa34145b7988dbba,41.4145614,2.1658677,"C/ CAMÈLIES, 78"
114,20,0,129546d3550305e9a5d2f725866b1667,41.385004,2.1429115,"AV. JOSEP TARRADELLAS, 58"
115,8,17,00565dda9629be93f8f69358b48602cc,41.386543,2.169427,"PL. CATALUNYA, 7"
