,empty_slots,free_bikes,station_id,latitude,longitude,station_name,poi_id,poi_name,review_count,rating,price,distance,full_address
21,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",qN4roYYAOlFaJdMo5_oppQ,Several Cafè,9.0,4.5,€,297.776712707012,"['Carrer Gran de Sant Andreu, 165', '08030 Barcelona', 'Spain']"
22,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21.0,4.0,€€,1157.276415369228,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']"
23,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",UdRmo2dstOYd29Ihs5vI8w,La Vermuteria de Sant Andreu,4.0,4.0,€€,355.85072233133894,"['Rambla de Fabra I Puig, 51', '08030 Barcelona', 'Spain']"
24,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",P7Cloffa4aU62FzVr-tZNg,Egarri,10.0,3.5,€€,961.3771422064588,"['Passeig de Fabra i Puig, 159', '08016 Barcelona', 'Spain']"
25,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",b6CTrnhzquhrFoU7jF5emQ,Txapeldun,3.0,4.5,€€,961.3771422064588,"['Passeig de Fabra I Puig, 159', '08016 Barcelona', 'Spain']"
26,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",e6bRub-8J0j5PDm55UNASA,Toca Teca,3.0,4.5,€,1043.8640087745605,"['Carrer Garcilaso, 172', '08027 Barcelona', 'Spain']"
27,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",EizEqw83iFDspKv5ZvHxtw,L'Empanat,4.0,3.0,€,570.0764818078366,"['Carrer de Monlau, 60', '08027 Barcelona', 'Spain']"
28,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",iRrsa0bQbTtHzBjsHIprqQ,Beering Barcelona,10.0,4.5,€,548.5641984697418,"['Carrer de las Navas de Tolosa, 355', '08041 Barcelona', 'Spain']"
29,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21.0,4.0,€€,609.8954662679022,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']"
30,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",uXm4R6Waztb6KiZKrc4LIQ,Marc's,6.0,4.0,€,562.428001070091,"['Passeig de Maragall, 140', '08027 Barcelona', 'Spain']"
31,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",V5R3c-dH9T_FNn4CEAetFQ,El Ramblero,4.0,5.0,,840.0998110191887,"['Carrer del Pont del Treball Digne, 13', '08020 Barcelona', 'Spain']"
32,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21.0,4.0,€€,493.7993472913124,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']"
33,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",P7Cloffa4aU62FzVr-tZNg,Egarri,10.0,3.5,€€,356.2754210903369,"['Passeig de Fabra i Puig, 159', '08016 Barcelona', 'Spain']"
34,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",UJw30gn9Yf60a8gIyvFH-A,La Cholita,8.0,4.5,€€,234.8079348821359,"['Carrer de Felip II, 244', '08016 Barcelona', 'Spain']"
35,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",b6CTrnhzquhrFoU7jF5emQ,Txapeldun,3.0,4.5,€€,356.2754210903369,"['Passeig de Fabra I Puig, 159', '08016 Barcelona', 'Spain']"
36,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",iRrsa0bQbTtHzBjsHIprqQ,Beering Barcelona,10.0,4.5,€,1046.111428596765,"['Carrer de las Navas de Tolosa, 355', '08041 Barcelona', 'Spain']"
37,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",e6bRub-8J0j5PDm55UNASA,Toca Teca,3.0,4.5,€,422.67561352925935,"['Carrer Garcilaso, 172', '08027 Barcelona', 'Spain']"
38,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",oD9g3jw6UoebuiI3GtSGww,Tasca I Vins,10.0,4.0,€,385.83848721937295,"['Calle Cardenal Tedeschini, 32', '08027 Barcelona', 'Spain']"
39,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",uXm4R6Waztb6KiZKrc4LIQ,Marc's,6.0,4.0,€,454.9770678483416,"['Passeig de Maragall, 140', '08027 Barcelona', 'Spain']"
40,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",qN4roYYAOlFaJdMo5_oppQ,Several Cafè,9.0,4.5,€,1080.6891478399918,"['Carrer Gran de Sant Andreu, 165', '08030 Barcelona', 'Spain']"
41,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",UdRmo2dstOYd29Ihs5vI8w,La Vermuteria de Sant Andreu,4.0,4.0,€€,696.972365250743,"['Rambla de Fabra I Puig, 51', '08030 Barcelona', 'Spain']"
42,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21.0,4.0,€€,116.76498142316444,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']"
43,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",uXm4R6Waztb6KiZKrc4LIQ,Marc's,6.0,4.0,€,167.83274970785592,"['Passeig de Maragall, 140', '08027 Barcelona', 'Spain']"
44,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",e6bRub-8J0j5PDm55UNASA,Toca Teca,3.0,4.5,€,233.0581236582069,"['Carrer Garcilaso, 172', '08027 Barcelona', 'Spain']"
45,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",iRrsa0bQbTtHzBjsHIprqQ,Beering Barcelona,10.0,4.5,€,468.9233446698581,"['Carrer de las Navas de Tolosa, 355', '08041 Barcelona', 'Spain']"
46,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",oD9g3jw6UoebuiI3GtSGww,Tasca I Vins,10.0,4.0,€,512.212297912746,"['Calle Cardenal Tedeschini, 32', '08027 Barcelona', 'Spain']"
47,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",P7Cloffa4aU62FzVr-tZNg,Egarri,10.0,3.5,€€,946.059541581276,"['Passeig de Fabra i Puig, 159', '08016 Barcelona', 'Spain']"
48,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",b6CTrnhzquhrFoU7jF5emQ,Txapeldun,3.0,4.5,€€,946.059541581276,"['Passeig de Fabra I Puig, 159', '08016 Barcelona', 'Spain']"
49,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",qN4roYYAOlFaJdMo5_oppQ,Several Cafè,9.0,4.5,€,969.8493491429264,"['Carrer Gran de Sant Andreu, 165', '08030 Barcelona', 'Spain']"
50,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",uY7qDqn533Z0Rb3RMMBvmw,Restaurante Dopazo,4.0,4.5,,798.7036323721901,"['Calle Santa Coloma, 15', '08030 Barcelona', 'Spain']"
51,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",UdRmo2dstOYd29Ihs5vI8w,La Vermuteria de Sant Andreu,4.0,4.0,€€,83.26318795958879,"['Rambla de Fabra I Puig, 51', '08030 Barcelona', 'Spain']"
